,_id,_labels,class_type,email,is_admin,name,password_hash,phone_number,price,seats,_start,_end,_type,buy_date,time
64,83.0,:Train_class,Купэ,,,,,,200.0,300.0,,,,,
65,84.0,:Train_class,Плацкарт,,,,,,300.0,300.0,,,,,
66,85.0,:Train_class,СВ,,,,,,500.0,300.0,,,,,
67,86.0,:Train_class,Купэ,,,,,,200.0,300.0,,,,,
68,87.0,:Train_class,Плацкарт,,,,,,300.0,300.0,,,,,
69,88.0,:Train_class,СВ,,,,,,500.0,300.0,,,,,
70,89.0,:Train_class,Купэ,,,,,,200.0,300.0,,,,,
71,90.0,:Train_class,Плацкарт,,,,,,300.0,300.0,,,,,
72,91.0,:Train_class,СВ,,,,,,500.0,300.0,,,,,
73,92.0,:Train_class,Купэ,,,,,,200.0,300.0,,,,,
74,93.0,:Train_class,Плацкарт,,,,,,300.0,300.0,,,,,
75,94.0,:Train_class,СВ,,,,,,500.0,300.0,,,,,
76,95.0,:Train_class,Купэ,,,,,,200.0,300.0,,,,,
77,96.0,:Train_class,Плацкарт,,,,,,300.0,300.0,,,,,
78,97.0,:Train_class,СВ,,,,,,500.0,300.0,,,,,
79,98.0,:Train_class,Купэ,,,,,,200.0,300.0,,,,,
80,99.0,:Train_class,Плацкарт,,,,,,300.0,300.0,,,,,
81,100.0,:Train_class,СВ,,,,,,500.0,300.0,,,,,
