,_id,_labels,class_type,email,is_admin,name,password_hash,phone_number,price,seats,_start,_end,_type,buy_date,time
111,,,,,,,,,,,20.0,27.0,CLASS,,
112,,,,,,,,,,,20.0,28.0,CLASS,,
113,,,,,,,,,,,20.0,29.0,CLASS,,
114,,,,,,,,,,,21.0,30.0,CLASS,,
115,,,,,,,,,,,21.0,31.0,CLASS,,
116,,,,,,,,,,,21.0,32.0,CLASS,,
117,,,,,,,,,,,22.0,33.0,CLASS,,
118,,,,,,,,,,,22.0,34.0,CLASS,,
119,,,,,,,,,,,22.0,35.0,CLASS,,
120,,,,,,,,,,,23.0,36.0,CLASS,,
121,,,,,,,,,,,23.0,37.0,CLASS,,
122,,,,,,,,,,,23.0,38.0,CLASS,,
123,,,,,,,,,,,24.0,39.0,CLASS,,
124,,,,,,,,,,,24.0,40.0,CLASS,,
125,,,,,,,,,,,24.0,41.0,CLASS,,
126,,,,,,,,,,,25.0,42.0,CLASS,,
127,,,,,,,,,,,25.0,43.0,CLASS,,
128,,,,,,,,,,,25.0,44.0,CLASS,,
155,,,,,,,,,,,77.0,83.0,CLASS,,
156,,,,,,,,,,,77.0,84.0,CLASS,,
157,,,,,,,,,,,77.0,85.0,CLASS,,
158,,,,,,,,,,,78.0,86.0,CLASS,,
159,,,,,,,,,,,78.0,87.0,CLASS,,
160,,,,,,,,,,,78.0,88.0,CLASS,,
161,,,,,,,,,,,79.0,89.0,CLASS,,
162,,,,,,,,,,,79.0,90.0,CLASS,,
163,,,,,,,,,,,79.0,91.0,CLASS,,
164,,,,,,,,,,,80.0,92.0,CLASS,,
165,,,,,,,,,,,80.0,93.0,CLASS,,
166,,,,,,,,,,,80.0,94.0,CLASS,,
167,,,,,,,,,,,81.0,95.0,CLASS,,
168,,,,,,,,,,,81.0,96.0,CLASS,,
169,,,,,,,,,,,81.0,97.0,CLASS,,
170,,,,,,,,,,,82.0,98.0,CLASS,,
171,,,,,,,,,,,82.0,99.0,CLASS,,
172,,,,,,,,,,,82.0,100.0,CLASS,,
