,_id,_labels,class_type,email,is_admin,name,password_hash,phone_number,price,seats,_start,_end,_type,buy_date,time
45,64.0,:Station,,,,Киевский,,,,,,,,,
46,65.0,:Station,,,,Белорусский,,,,,,,,,
47,66.0,:Station,,,,Киевский,,,,,,,,,
48,67.0,:Station,,,,Ленинградский,,,,,,,,,
49,68.0,:Station,,,,Московский,,,,,,,,,
50,69.0,:Station,,,,Витебский,,,,,,,,,
51,70.0,:Station,,,,Центральный вокзал,,,,,,,,,
52,71.0,:Station,,,,Железнодорожный вокзал,,,,,,,,,
54,73.0,:Station,,,,Земун,,,,,,,,,
55,74.0,:Station,,,,Ванзе,,,,,,,,,
56,75.0,:Station,,,,Центральный вокзал Киев-Пассажирский,,,,,,,,,
57,76.0,:Station,,,,Минск-Пассажирский,,,,,,,,,
