,_id,_labels,class_type,email,is_admin,name,password_hash,phone_number,price,seats,_start,_end,_type,buy_date,time
100,,,,,,,,,,,20.0,6.0,TO,,2020-11-21T14:11Z
102,,,,,,,,,,,21.0,9.0,TO,,2020-11-21T08:51Z
104,,,,,,,,,,,22.0,17.0,TO,,2020-11-21T19:51Z
106,,,,,,,,,,,23.0,17.0,TO,,2020-11-21T12:57Z
108,,,,,,,,,,,24.0,19.0,TO,,2020-11-22T18:30Z
110,,,,,,,,,,,25.0,1.0,TO,,2020-11-23T18:30Z
144,,,,,,,,,,,77.0,67.0,TO,,2020-11-30T21:50Z
146,,,,,,,,,,,78.0,76.0,TO,,2020-11-30T08:51Z
148,,,,,,,,,,,79.0,74.0,TO,,2020-11-22T19:51Z
150,,,,,,,,,,,80.0,75.0,TO,,2020-11-21T12:57Z
152,,,,,,,,,,,81.0,74.0,TO,,2020-11-22T18:30Z
154,,,,,,,,,,,82.0,64.0,TO,,2020-11-23T18:30Z
