,_id,_labels,class_type,email,is_admin,name,password_hash,phone_number,price,seats,_start,_end,_type,buy_date,time
27,27.0,:Air_class,Economy,,,,,,200.0,300.0,,,,,
28,28.0,:Air_class,Business,,,,,,400.0,300.0,,,,,
29,29.0,:Air_class,First,,,,,,800.0,300.0,,,,,
30,30.0,:Air_class,Economy,,,,,,200.0,300.0,,,,,
31,31.0,:Air_class,Business,,,,,,400.0,300.0,,,,,
32,32.0,:Air_class,First,,,,,,800.0,300.0,,,,,
33,33.0,:Air_class,Economy,,,,,,200.0,300.0,,,,,
34,34.0,:Air_class,Business,,,,,,400.0,300.0,,,,,
35,35.0,:Air_class,First,,,,,,800.0,300.0,,,,,
36,36.0,:Air_class,Economy,,,,,,200.0,300.0,,,,,
37,37.0,:Air_class,Business,,,,,,400.0,300.0,,,,,
38,38.0,:Air_class,First,,,,,,800.0,300.0,,,,,
39,39.0,:Air_class,Economy,,,,,,200.0,300.0,,,,,
40,40.0,:Air_class,Business,,,,,,400.0,300.0,,,,,
41,41.0,:Air_class,First,,,,,,800.0,300.0,,,,,
42,42.0,:Air_class,Economy,,,,,,200.0,300.0,,,,,
43,43.0,:Air_class,Business,,,,,,400.0,300.0,,,,,
44,44.0,:Air_class,First,,,,,,800.0,300.0,,,,,
