,_id,_labels,class_type,email,is_admin,name,password_hash,phone_number,price,seats,_start,_end,_type,buy_date,time
1,1.0,:Airport,,,,Шереметьево,,,,,,,,,
2,2.0,:Airport,,,,Внуково,,,,,,,,,
3,3.0,:Airport,,,,Остафьево,,,,,,,,,
4,4.0,:Airport,,,,Домодедово,,,,,,,,,
6,6.0,:Airport,,,,Пулково,,,,,,,,,
7,7.0,:Airport,,,,Левашово,,,,,,,,,
9,9.0,:Airport,,,,Схипхол,,,,,,,,,
11,11.0,:Airport,,,,Элефтериос Венизелос,,,,,,,,,
13,13.0,:Airport,,,,Никола Тесла Белград,,,,,,,,,
15,15.0,:Airport,,,,Берлин-Тегель,,,,,,,,,
17,17.0,:Airport,,,,Киев (Жуляны),,,,,,,,,
19,19.0,:Airport,,,,Национальный аэропорт «Минск»,,,,,,,,,
